0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
19,39007883.78,4730688.065,39007673.9,4730478.185,4.0456,4.4041,3.6489,0.17903,-2.6313,-0.17548,-0.42575,-2.7749,-4.8299,-4.9664,-4.6841,2.3172,1.3275,-0.45831,-1.2757,4.3792,-4.123,-2.6568,3.4048,-1.5553
20,41690504.36,4730688.065,41690294.48,4730478.185,2.0712,-3.4582,3.4175,-1.9344,-0.59023,2.8674,-4.6509,2.1768,0.70862,0.92224,-0.44433,-2.7971,-0.91523,-0.041483,-2.9317,-1.7369,1.6724,-4.2151,3.5719,-1.3225
22,25509325.93,4730688.065,25509116.05,4730478.185,-2.3198,-3.5611,3.5983,-2.349,0.8249,4.6437,3.2436,3.989,0.65674,1.0646,-3.9513,-3.4706,-0.70263,-2.2651,1.064,0.87093,4.5052,0.60528,-1.9743,-2.0156
25,20473222.4,4730688.065,20473012.52,4730478.185,-0.8695,0.19864,1.2693,-4.4662,2.8313,0.94994,-2.569,1.4599,-4.1252,-4.885,2.54,2.0551,0.69991,-0.64815,1.0042,-1.2012,3.3337,-3.4789,-2.5394,-0.61407
28,24158468.17,4730688.065,24158258.29,4730478.185,-3.6097,2.5064,0.43981,3.3331,1.173,-2.9837,1.9613,4.0494,4.9407,-1.6117,4.2161,2.4234,1.3317,-4.8027,4.2676,0.083166,4.6389,-1.2319,1.8398,3.5189
31,39139070.45,4730688.065,39138860.57,4730478.185,2.4743,-2.7083,4.8637,-0.20361,-3.1691,-0.52404,-4.389,0.079883,1.6451,-2.4595,0.53144,-4.5933,1.703,-0.26891,4.5014,-3.7517,1.0215,1.2411,3.3991,-2.459
35,7731202.358,4730688.065,7730992.478,4730478.185,-2.1474,-3.7709,-4.6222,1.0642,0.35848,-2.0728,1.4351,-3.2743,3.8475,-4.3721,-3.9312,-2.7841,-2.3884,3.1065,1.5217,-4.0484,-2.7027,-2.5304,-2.5551,2.2843
39,39007883.78,4730688.065,39007673.9,4730478.185,4.0456,4.4041,3.6489,0.17903,-2.6313,-0.17548,-0.42575,-2.7749,-4.8299,-4.9664,-4.6841,2.3172,1.3275,-0.45831,-1.2757,4.3792,-4.123,-2.6568,3.4048,-1.5553
44,24419127.18,4730688.065,24418917.3,4730478.185,4.3517,0.11673,-0.12047,-1.8896,-3.7993,-4.7257,3.2245,3.305,-0.065361,-1.3813,-2.2646,-0.30792,2.3713,0.81972,0.41094,4.389,-4.2947,0.42367,-4.4034,-2.1689
50,16314923.72,4730688.065,16314713.84,4730478.185,3.4744,-5.754,0.97618,-0.23218,-0.43845,-2.5928,-0.94371,0.90916,-0.26418,0.74488,0.65119,-0.019213,-1.0141,1.6489,-2.3163,1.8826,-1.8291,-2.682,-0.32512,4.0712
56,28728010.0,4730688.065,28727800.12,4730478.185,-4.9146,-2.5867,-3.1632,4.4492,2.2269,-4.3267,-4.5532,3.7318,-3.0219,-1.4252,4.0307,5.7481,4.5546,-1.7871,0.075727,4.9935,3.8417,-1.3372,-1.7265,-1.8277
63,18953877.44,4730688.065,18953667.56,4730478.185,4.0966,-2.0684,4.9825,2.2073,3.0931,3.7127,0.048244,-3.4101,-1.0162,3.7107,3.4948,3.792,-3.1085,1.1036,-2.3464,-1.2321,-3.2838,4.0904,3.62,2.3379
70,16314923.72,4730688.065,16314713.84,4730478.185,3.4744,-5.754,0.97618,-0.23218,-0.43845,-2.5928,-0.94371,0.90916,-0.26418,0.74488,0.65119,-0.019213,-1.0141,1.6489,-2.3163,1.8826,-1.8291,-2.682,-0.32512,4.0712
79,36819071.05,4730688.065,36818861.17,4730478.185,5.1445,2.9651,3.5001,2.9334,-1.5834,-0.44603,-0.22391,-6.4823,-4.6554,-2.8264,-3.1481,3.9324,3.7946,1.6645,-1.2257,4.9976,-8.1572,-0.26946,3.3548,-1.5053
89,34253725.96,4730688.065,34253516.08,4730478.185,-2.9179,-8.1615,-1.3857,1.7177,1.3941,-4.1767,-1.0051,3.7727,-0.089938,3.4252,1.4403,5.4976,3.4971,-4.0241,-1.4161,-1.5311,-3.0158,-0.67709,-2.855,-3.8663
100,29527183.3,2654135.497,29526973.42,2653925.617,1.973,-4.9003,3.4951,-2.2419,-2.3901,2.7674,-9.4238,3.8885,-1.6135,-1.0428,-1.1108,-0.9977,-1.3692,3.5648,1.3912,1.157,0.87884,-2.8545,-0.92244,-2.2396
112,17344147.4,2654135.497,17343937.52,2653925.617,3.3285,0.32767,-1.002,5.1931,2.4591,2.9002,5.4585,-5.4192,-3.3346,0.68323,-0.58409,7.7305,-3.3648,3.051,-2.9384,-2.5301,1.5803,-0.65584,0.091266,4.586
125,17084796.25,2654135.497,17084586.37,2653925.617,-0.51259,0.10154,2.2775,-5.2315,-3.0491,0.94994,-0.014139,5.6193,-1.2089,-4.785,3.3564,-1.794,0.93843,-0.36644,-0.61131,-0.45146,2.3242,0.14979,-4.9437,-1.0363
141,38814525.0,2654135.497,38814315.12,2653925.617,-4.1999,-1.6367,3.8374,-1.8781,-2.9284,-1.1333,-1.841,-5.3165,4.86,3.0213,2.1781,3.5371,-3.5417,2.7823,2.3405,0.66171,-2.4852,-5.1443,-1.2711,-2.722
158,2847575.57,2654135.497,2847365.69,2653925.617,0.30203,-2.1232,4.9054,3.3528,1.7273,0.87907,-3.1921,-3.1047,0.41321,-3.0969,2.943,-0.30582,-0.54384,1.9987,1.3968,0.7838,-2.4838,1.0843,-1.8307,2.1176
177,16523421.35,2654135.497,16523211.47,2653925.617,0.81457,-1.8682,-1.1967,1.0271,0.62562,-3.1198,5.5902,-3.7444,-8.3554,-2.7166,-0.9474,3.3327,-0.55076,1.8323,-0.56883,5.0033,-5.8536,-1.3815,-0.95114,-0.58624
199,24031241.57,2654135.497,24031031.69,2653925.617,4.596,-0.98394,3.3472,2.406,0.45895,-2.5619,3.6853,-5.9523,-6.8339,-2.5977,-0.45191,2.5652,-0.055326,2.7614,-1.4513,4.9476,-8.1072,0.36652,2.7397,0.28139
200,4973016.73,2654135.497,4972806.85,2653925.617,1.923,-3.7042,3.4451,1.3113,-2.3401,2.7174,-9.3738,4.7268,-0.30807,-2.6841,-0.0047935,2.0373,-1.5961,1.2368,-1.3773,1.7508,0.78131,1.2209,-1.6255,1.3549
223,4507331.346,2654135.497,4507121.466,2653925.617,1.0434,-4.5831,4.9325,2.1646,2.229,3.0276,-3.0754,-3.7576,-1.3538,1.2346,4.2428,3.742,-1.3413,1.012,-0.95815,-2.9081,-3.3058,2.1038,0.38098,2.3494
251,4618650.767,2654135.497,4618440.887,2653925.617,1.9826,-4.4698,2.2796,1.2515,-5.1319,-0.28126,0.46056,1.8187,0.97399,-7.2588,-2.1115,-3.6326,-4.4456,0.35095,-1.4083,0.022674,-1.8147,1.9234,-1.1629,3.1516
281,5772934.398,2654135.497,5772724.518,2653925.617,-3.9193,1.7248,3.7374,-0.87685,1.4691,-1.96,-0.27314,-5.428,-0.030949,2.9213,1.862,-0.99639,-1.8691,0.26856,2.0777,-0.24234,-2.4083,0.64016,0.027854,2.1337
316,8311645.917,2132640.794,8311436.037,2132430.914,-5.0969,-3.0924,-1.861,1.1,5.749,-4.7326,-6.9195,1.2315,-0.48264,-2.1521,1.4065,6.5036,-1.762,2.0282,-0.021298,4.4475,2.2121,3.2506,-0.78229,2.0541
354,3470902.526,1088966.727,3470692.646,1088756.847,-1.1872,-4.3128,-4.3879,2.0157,1.0535,-4.231,-1.781,-3.7544,-1.56,4.2938,-0.82951,-1.4125,0.61492,1.2341,0.064986,-2.0843,-1.365,1.7628,-0.75122,2.982
398,1182664.122,1014108.855,1182454.242,1013898.975,3.3666,-0.82623,2.4786,3.0555,-1.6191,0.31344,-3.2421,1.2893,1.1943,-2.516,1.274,2.3005,2.6976,1.5371,0.8665,-0.39892,-1.9692,2.3511,-2.1478,1.961
446,2604529.002,787452.0978,2604319.122,787242.2178,4.3189,-0.084172,5.0275,-4.2208,-3.9791,3.5837,3.4734,0.60814,1.1023,3.2142,-1.5817,-1.8497,2.5077,3.1791,1.3408,-2.3245,-5.4576,1.8541,-3.2664,2.7706
501,2099148.572,408336.0878,2098938.692,408126.2078,2.5969,-5.3418,0.58686,-1.9629,-0.97412,-1.9471,-3.3667,-1.9908,1.2448,-2.1748,-1.6737,4.7386,-2.4211,1.0665,-2.4347,-2.6631,-2.2497,2.0458,-2.0714,2.9889
562,4940880.133,408336.0878,4940670.253,408126.2078,-1.3232,-0.67185,0.62158,-1.56,-0.29735,-1.5278,1.7811,-0.34249,1.2227,-0.040987,-0.37721,-0.055013,-2.1968,0.93068,-1.0597,-3.2629,-2.4193,4.3809,-2.0418,3.9342
630,625548.9372,408336.0878,625339.0572,408126.2078,3.0891,3.8196,-5.1489,-5.5387,4.0364,0.81975,5.274,1.2087,3.9072,-3.8088,-6.3534,-2.3411,-0.39757,0.3117,-0.51388,-3.5619,-1.9008,2.4902,-2.101,1.848
707,763236.2803,302963.8124,763026.4003,302753.9324,1.5529,-1.8491,-3.6981,-2.007,-1.6682,-1.2444,1.4607,3.1513,0.081798,-3.4362,2.3147,-2.6676,0.94765,-0.36443,0.17479,-0.94538,-3.3152,2.9722,-2.2666,2.2125
794,270325.5637,199445.8238,270115.6837,199235.9438,-0.37597,-3.1059,-4.0795,0.71002,-2.367,-3.1577,-1.5791,-4.62,1.4598,4.8875,-2.0664,-0.15227,0.94641,-0.069232,-2.1358,-2.6808,-3.0844,2.8759,-2.4233,2.1734
891,333301.8582,199445.8238,333091.9782,199235.9438,-1.3138,-1.4264,2.9886,0.43523,-4.6372,-0.20547,-2.4408,3.0702,1.4274,-1.2827,3.0302,-2.3941,-0.36194,-4.0002,-1.3916,-3.5534,-2.691,3.1007,-2.3803,2.1408
1000,258885.3333,95749.6168,258675.4533,95539.7368,-0.80735,-2.8386,1.4203,2.6112,-5.3656,-1.8645,0.21547,2.1599,0.2081,-1.0688,4.342,-1.7229,-0.27117,-2.824,-0.91134,-3.8119,-2.581,3.1424,-2.4387,2.0556
1122,164815.1865,59704.71928,164605.3065,59494.83928,0.41487,-1.9277,7.058,2.0221,0.24378,-0.79164,8.4974,-0.061669,-0.063345,1.6799,1.7765,0.8713,1.9137,-2.5524,-1.643,-3.8005,-2.2005,2.9849,-2.2642,2.1073
1258,6226477.182,59704.71928,6226267.302,59494.83928,-0.70595,0.71243,-1.4701,-3.0031,-1.9092,2.3132,-4.0974,6.3682,2.6567,3.5023,-0.73144,3.6921,-1.2637,-0.97664,-0.7515,-4.0164,-3.0298,1.6233,-2.5124,-0.47588
1412,2195278.859,31170.4633,2195068.979,30960.5833,-0.83854,-1.781,-0.75352,-1.8056,1.2392,3.983,10.754,4.2978,1.6189,-1.1081,-0.020398,2.361,1.9361,-1.6658,-1.3274,-2.092,-3.1446,4.7724,-2.2793,3.027
1584,20812.40776,20812.40776,20602.52776,20602.52776,-3.7179,2.8353,8.0386,0.98395,0.21953,3.9194,8.2989,-0.38272,1.836,-0.095138,1.8203,3.0808,4.2649,-1.3773,-1.6128,-3.7936,-3.0226,3.0844,-2.4286,1.8972
1778,149936.7951,11382.79713,149726.9151,11172.91713,2.7023,1.0505,-1.0033,3.1632,-2.1022,2.2123,-5.6969,3.8685,2.4806,1.354,0.56663,1.3241,3.498,-1.6218,-1.8886,-2.101,-3.0435,2.9774,-2.3939,1.8883
1995,25836.50972,9744.22751,25626.62972,9534.34751,-4.5042,2.8256,-15.249,1.9941,-2.5852,0.23148,4.2806,5.5148,2.0752,1.3477,-0.95161,2.4994,4.0922,-1.7565,-1.3124,-3.8853,-3.0701,3.0003,-2.3185,1.9156
2000,24157.85906,9744.22751,23947.97906,9534.34751,-3.1454,2.0568,1.0038,3.1261,-3.8313,1.3641,0.89385,5.1612,1.8289,1.6104,1.3269,2.1503,3.459,-1.7468,-1.3961,-3.5876,-2.8084,3.123,-2.3673,1.9404
2238,14513.71868,7017.120586,14303.83868,6807.240586,1.3763,6.0456,-2.0184,3.5501,-4.7155,1.9809,-5.5969,3.5202,2.0263,2.5751,0.98554,1.8678,3.4483,-1.4304,-1.6659,-3.6385,-3.111,3.0546,-2.3682,1.9071
2511,7508.49141,6131.434014,7298.61141,5921.554014,1.2204,4.1189,3.679,3.0533,-5.2012,3.6063,-1.605,2.6974,1.4081,1.956,1.1345,1.4555,4.0565,-1.678,-1.5596,-3.8451,-3.0683,3.0703,-2.3961,1.9305
2818,4464.288577,2197.504317,4254.408577,1987.624317,-1.0076,5.9559,6.7436,0.6818,1.8308,2.687,2.951,2.2447,-1.3025,2.4442,0.98342,2.1103,3.8904,-1.5235,-1.651,-3.7401,-3.1043,2.9923,-2.3539,1.9161
3162,4426.658717,1394.571461,4216.778717,1184.691461,-5.8479,4.9012,-0.51739,3.3661,1.5587,2.9059,4.8489,1.0839,-1.4616,1.5339,1.5437,1.0598,3.9799,-1.5572,-1.6208,-3.8426,-3.1144,3.0403,-2.3825,1.9178
3548,2008.532406,858.265407,1798.652406,648.385407,-5.7536,5.0728,7.7381,3.4941,2.0326,2.7773,2.3961,0.35187,-0.35386,1.9294,1.0557,1.6665,3.9736,-1.5897,-1.5667,-3.8624,-3.0065,3.0553,-2.3788,1.9165
3981,1302.708523,786.9262682,1092.828523,577.0462682,1.402,3.4326,0.87046,5.5524,-0.044348,1.8362,3.4378,0.24635,-0.55535,2.7935,0.9622,1.5579,3.9895,-1.5673,-1.643,-3.7784,-3.0577,3.0876,-2.3789,1.919
4466,758.4190315,521.0676102,548.5390315,311.1876102,-0.26547,6.4712,3.4707,2.0717,1.5353,2.488,2.4729,-0.060122,-1.5331,2.724,1.1367,1.8058,3.8725,-1.4652,-1.5853,-3.7922,-3.0621,3.0851,-2.3815,1.9231
5011,1953318.232,365.6715844,1953108.352,155.7915844,-2.0168,6.8732,-0.99567,0.87324,1.205,3.1486,1.5902,-0.66324,-1.1116,0.41338,1.0749,1.6983,3.9282,-1.4291,-1.5729,-3.8161,-3.058,3.0748,-4.3619,1.9224
5623,412.232136,295.9897228,202.352136,86.10972278,-2.0331,6.1196,3.0329,3.9926,0.29716,3.3393,3.0176,0.1556,-1.4388,2.5803,0.96608,1.4971,3.9704,-1.4697,-1.5835,-3.7775,-3.0721,3.0542,-2.3834,1.9214
6309,353.5851265,190.9127456,143.7051265,-18.96725437,0.10459,5.5852,6.356,1.9495,0.8294,3.0723,2.5464,0.59577,-1.2592,2.527,1.0278,1.5291,3.9565,-1.4749,-1.574,-3.7776,-3.07,3.0612,-2.379,1.9237
7079,166.3950201,131.190713,-43.4849799,-78.68928697,-0.11884,3.5416,3.8655,2.1274,1.1954,2.9139,2.4578,0.12518,-0.79123,2.6235,0.90335,1.5509,3.9776,-1.4723,-1.5615,-3.7614,-3.0755,3.0608,-2.3794,1.9225
7943,131.190713,113.0312416,-78.68928697,-96.84875842,-2.0494,-0.15618,3.6026,2.3516,1.0976,2.8848,2.8423,0.17255,-1.0385,2.5314,0.87616,1.5585,3.9674,-1.4687,-1.5589,-3.7636,-3.0684,3.0593,-2.3782,1.9234
8912,125.6819264,83.81343906,-84.19807356,-126.0665609,-1.0377,-1.1832,4.4872,2.8495,1.2139,2.9826,2.588,0.15813,-1.1341,2.4501,0.85768,1.5526,3.9684,-1.4743,-1.5523,-3.7641,-3.0714,3.0604,-2.3816,1.9218
10000,82.47781025,62.50945661,-127.4021898,-147.3705434,-0.22138,-0.90074,3.504,2.5626,1.7429,2.5105,2.6937,-0.034224,-1.1835,2.4715,0.87007,1.5832,3.975,-1.4565,-1.553,-3.7629,-3.0685,3.0593,-2.3802,1.922
11220,1212.646748,31.07818333,1002.766748,-178.8018167,1.6113,-0.24426,3.021,2.9544,1.589,2.7139,2.4032,-0.11771,-1.1455,2.5514,0.8585,1.5594,3.9764,-1.4528,-1.5465,-3.7601,-3.1662,3.0618,-2.3789,1.9208
12589,26.49065474,23.7564481,-183.3893453,-186.1235519,0.48023,1.0023,3.2932,2.5593,1.8154,2.7258,2.2743,0.029692,-1.1697,2.5263,0.884,1.565,3.9788,-1.4368,-1.539,-3.761,-3.071,3.062,-2.3802,1.9202
14125,271.8020161,15.53488785,61.92201608,-194.3451121,2.8823,0.00077738,3.9406,2.2317,1.6456,2.6216,2.3076,0.0057288,-2.0088,2.5258,0.86764,1.5464,3.9758,-1.4223,-1.5423,-3.7611,-3.0701,3.0624,-2.3812,1.9201
15848,174.4609941,10.04026844,-35.41900587,-199.8397316,2.0033,0.66691,3.2719,2.4642,2.0041,2.6752,3.8464,-0.069772,-1.109,2.5333,0.87074,1.5546,3.9686,-1.4186,-1.5419,-3.7621,-3.0638,3.0624,-2.3805,1.9199
17782,7.55128158,6.27505391,-202.3287184,-203.6049461,1.3976,0.38875,3.6672,2.5079,1.8306,2.7592,2.3429,-0.08504,-1.1088,2.542,0.87669,1.562,3.9739,-1.4173,-1.5414,-3.7621,-3.0638,3.0628,-2.3807,1.92
19952,4.846753502,4.310385664,-205.0332465,-205.5696143,1.0696,0.45999,3.7586,2.3934,1.8882,2.6446,2.3228,-0.05082,-1.1095,2.5815,0.87715,1.5711,3.9757,-1.4206,-1.5407,-3.7631,-3.0627,3.0628,-2.3796,1.9202
20000,4.724094908,4.310385664,-205.1559051,-205.5696143,1.0758,0.43313,3.62,2.435,1.8834,2.6617,2.3209,-0.090086,-1.1232,2.5742,0.88136,1.5679,3.9743,-1.419,-1.5408,-3.7624,-3.0618,3.0624,-2.3801,1.9201
22387,4.032522669,3.772705852,-205.8474773,-206.1072941,1.3404,0.46774,3.4518,2.4828,1.8539,2.6583,2.3138,-0.058241,-1.1012,2.5924,0.87663,1.5668,3.9775,-1.4187,-1.5408,-3.7628,-3.0627,3.0628,-2.3802,1.9202
25118,3.21581469,3.068853351,-206.6641853,-206.8111466,1.3231,0.49026,3.5662,2.3605,1.8246,2.6895,2.3181,-0.063615,-1.1006,2.5994,0.88527,1.5566,3.9761,-1.4186,-1.5406,-3.7629,-3.0615,3.0629,-2.3801,1.9202
28183,2.676183784,2.365703461,-207.2038162,-207.5142965,1.2837,0.41277,3.5499,2.3833,1.7575,2.7049,2.3049,-0.063544,-1.102,2.603,0.87693,1.5584,3.9776,-1.4185,-1.5389,-3.7633,-3.0616,3.063,-2.38,1.9202
31622,1.912252557,1.647488688,-207.9677474,-208.2325113,1.276,0.51999,3.5904,2.3917,1.7762,2.7086,2.3009,-0.063448,-1.1029,2.5991,0.88233,1.5572,3.9784,-1.4187,-1.5357,-3.7635,-3.0616,3.0629,-2.38,1.9202
35481,4421.773158,0.3722191232,4211.893158,-209.5077809,1.2979,0.27192,3.5897,2.3802,1.8057,2.6719,2.3079,-0.062762,-3.5485,2.48,2.0882,1.5571,3.9768,-1.4184,-1.5333,-3.7675,-3.0616,3.0632,-2.3801,1.9202
39810,26663.27826,0.216042875,26453.39826,-209.6639571,1.2385,0.46753,4.8528,2.3555,1.7875,2.6948,2.3122,-0.063087,-1.1036,2.604,0.88334,1.5579,3.9773,0.061161,-1.3922,-3.7687,-3.0616,3.0632,-2.3799,1.9202
40001,0.2142961947,0.2142961947,-209.6657038,-209.6657038,1.2384,0.43871,3.5804,2.3939,1.7868,2.6897,2.3113,-0.063233,-1.104,2.6043,0.88362,1.5579,3.9772,-1.4186,-1.5334,-3.7686,-3.0616,3.0632,-2.38,1.9202
40040,0.2189583192,0.2142961947,-209.6610417,-209.6657038,1.2384,0.43871,3.5804,2.3939,1.7868,2.6897,2.3113,-0.063233,-1.104,2.6043,0.88362,1.5579,3.9772,-1.4186,-1.5334,-3.7686,-3.0616,3.0632,-2.38,1.9202
1,22625991.27,22625991.27,22625899.18,22625899.18,-0.32389,-0.11174,3.2923,3.7949,4.5675,4.0883,-1.7015,-0.7004,-1.7664,0.26779,4.1329,-0.067102,-0.87551,4.5021,-1.3804,-2.8412,-1.0123,-4.6835,1.8645,-3.5437
2,16933151.61,16933151.61,16933059.52,16933059.52,-4.5957,3.0732,4.438,4.2125,-4.7476,4.2149,0.099164,-1.8115,2.4757,-2.3813,0.97072,4.3911,-3.1754,-2.7616,3.8189,0.12104,-0.76058,-2.074,0.56711,1.349
3,50492449.62,16933151.61,50492357.53,16933059.52,1.6188,0.20477,4.7117,-4.0584,-3.9161,3.2827,3.3377,2.013,2.3813,3.8513,-2.0538,0.42343,2.1667,-4.137,-4.5122,3.5532,-2.2241,3.8246,-2.8487,4.675
4,22785156.22,16933151.61,22785064.13,16933059.52,-1.6736,-4.7102,0.63153,-3.1735,1.5542,4.2131,-0.34981,1.6861,-2.0141,-0.44939,-0.23892,-4.4196,1.8619,-4.9754,4.1711,-2.7517,2.6574,-0.83833,4.8409,1.3018
5,24093722.23,16933151.61,24093630.14,16933059.52,1.6659,0.89548,-4.8486,-1.867,-4.8694,1.611,-4.2126,-2.5713,1.5963,1.6625,-2.847,3.265,-3.5511,-1.9006,3.4148,2.6848,-0.083937,1.3968,1.1618,3.2048
6,11576173.3,11576173.3,11576081.21,11576081.21,2.2134,-3.8159,-2.9928,0.65015,1.0661,-0.629,-3.7765,3.0295,0.06258,-1.0379,-4.4699,3.558,0.22728,-4.4864,-0.51534,2.6816,-1.4658,4.6989,-2.5215,-0.85501
7,33799773.36,11576173.3,33799681.27,11576081.21,2.6617,1.7638,-3.8481,-3.4425,0.92225,4.6919,2.1666,-3.1015,-1.7952,-1.217,-3.8695,4.3875,-4.6697,-4.7939,-0.56465,-3.6465,-2.1329,-4.0179,-2.0894,-4.7664
8,29419198.38,11576173.3,29419106.29,11576081.21,3.0592,0.28524,3.1753,2.6198,4.5958,4.0695,-2.1326,0.39102,2.5433,1.0065,4.9482,-0.92431,0.47736,1.8344,2.5974,2.2209,1.9934,-4.1175,4.6899,1.5488
10,63154920.18,11576173.3,63154828.09,11576081.21,0.99406,4.2684,3.9599,-4.8551,-1.3698,-2.9809,-1.2299,0.95562,-0.12848,4.3183,-2.8393,0.51602,-1.8602,-4.7732,2.5806,3.7795,4.2031,3.9055,-3.9201,4.8538
11,17856402.9,11576173.3,17856310.81,11576081.21,-2.6026,1.0063,4.8771,-2.1333,2.7457,-0.010188,-1.592,-0.93753,-0.93093,2.0073,-2.7945,0.22436,-1.1653,4.5715,-1.8198,4.6248,-3.7017,-3.2548,2.593,0.92397
12,19917715.15,11576173.3,19917623.06,11576081.21,1.797,0.24514,-3.5804,1.7528,-1.4031,2.1384,4.547,2.2108,1.4926,3.2963,1.2077,0.2505,-1.4479,3.6814,-3.3924,1.4839,0.51919,3.6096,-3.9634,-2.5725
14,20864476.0,11576173.3,20864383.91,11576081.21,-0.48529,4.9968,2.6689,-0.39621,-0.036352,4.9568,2.0192,-1.6581,4.2711,-4.5868,-1.4556,2.0421,-0.4535,2.2347,-1.6744,3.8378,2.7897,-4.3765,1.9742,-1.5324
15,42542378.92,11576173.3,42542286.83,11576081.21,-2.2031,3.331,-1.2664,3.014,3.9024,1.6,0.68904,-3.1279,-2.1995,4.7132,-2.428,-1.0335,2.3857,0.82034,4.8174,1.2977,-2.2876,-2.5696,1.3016,4.4506
17,25727046.85,5546711.571,25726954.76,5546619.481,0.22006,-0.7572,-0.27672,3.7265,-1.81,3.893,-0.36396,4.2459,-4.4609,-2.5978,-4.6431,-0.62405,-0.4715,-2.2874,-3.9986,-3.019,3.3675,-0.49813,-2.97,-0.0097803
19,15358511.13,5546711.571,15358419.04,5546619.481,4.6547,-3.6954,-2.7032,-3.2023,1.9153,-0.47863,3.33,1.0666,-0.3079,-3.679,-0.24265,-2.4178,-3.136,3.5887,-3.2081,0.5481,1.5955,-0.091403,4.6064,-3.1993
20,25763248.86,5546711.571,25763156.77,5546619.481,0.77961,-1.1711,3.6779,2.9201,2.8124,-1.3733,-1.7073,3.0507,-2.4865,4.1608,-3.7409,0.75209,-3.4384,1.7469,2.367,2.6897,-0.13029,2.2562,-3.586,1.9176
